------device=cuda:0, q=2, batch_size=64, num_steps=50000, w_disc=32, w_dec=32,------
------out_file: results/DCGAN/trainDCGAN-randomInit------
   step      J_GAN      J_Gen    ProbDist    
001000   -1.6240e-01  -7.0221e-02  8.2363e+02  
002000   -4.4369e-02  -1.9166e-02  5.2543e+02  
003000   -5.2540e-05  -1.7542e-05  7.4219e+02  
004000   -7.8862e-02  -1.9111e-02  4.9744e+02  
005000   -2.6664e-01  -1.0555e-01  2.5069e+02  
006000   -2.9983e-01  -1.2022e-01  2.2268e+02  
007000   -2.5933e-01  -1.0743e-01  2.0266e+02  
008000   -2.7962e-01  -1.1531e-01  1.7890e+02  
009000   -3.2447e-01  -1.3183e-01  1.7197e+02  
010000   -3.0801e-01  -1.2520e-01  1.6948e+02  
011000   -2.9975e-01  -1.2312e-01  1.7978e+02  
012000   -3.0585e-01  -1.2521e-01  1.6989e+02  
013000   -3.3236e-01  -1.3747e-01  1.6467e+02  
014000   -3.8498e-01  -1.6704e-01  1.4661e+02  
015000   -3.6886e-01  -1.5774e-01  1.4381e+02  
016000   -3.6060e-01  -1.5909e-01  1.3357e+02  
017000   -3.5183e-01  -1.5064e-01  1.3173e+02  
018000   -3.4364e-01  -1.4763e-01  1.3900e+02  
019000   -4.0491e-01  -1.7854e-01  1.3424e+02  
020000   -3.9583e-01  -1.7362e-01  1.2394e+02  
021000   -3.5344e-01  -1.5191e-01  1.2611e+02  
022000   -3.6819e-01  -1.5867e-01  1.3833e+02  
023000   -3.4235e-01  -1.4709e-01  1.2866e+02  
024000   -3.5760e-01  -1.5520e-01  1.2599e+02  
025000   -3.3611e-01  -1.4285e-01  1.2532e+02  
026000   -3.5132e-01  -1.4984e-01  1.2587e+02  
027000   -3.5437e-01  -1.5670e-01  1.2115e+02  
028000   -3.8594e-01  -1.6715e-01  1.2182e+02  
029000   -3.3948e-01  -1.4934e-01  1.1738e+02  
030000   -3.3234e-01  -1.4675e-01  1.1683e+02  
031000   -3.2204e-01  -1.4313e-01  1.1764e+02  
032000   -3.2760e-01  -1.4531e-01  1.2158e+02  
033000   -3.2468e-01  -1.3883e-01  1.1953e+02  
034000   -3.1281e-01  -1.3564e-01  1.1946e+02  
035000   -3.1644e-01  -1.3420e-01  1.1847e+02  
036000   -3.3908e-01  -1.4482e-01  1.1678e+02  
037000   -3.4147e-01  -1.5113e-01  1.1595e+02  
038000   -2.9663e-01  -1.2712e-01  1.1481e+02  
039000   -2.8986e-01  -1.2577e-01  1.1691e+02  
040000   -2.8042e-01  -1.1591e-01  1.1890e+02  
041000   -2.8173e-01  -1.2197e-01  1.1177e+02  
042000   -2.7905e-01  -1.1820e-01  1.1523e+02  
043000   -2.7027e-01  -1.1974e-01  1.1492e+02  
044000   -2.7638e-01  -1.1535e-01  1.1516e+02  
045000   -2.8521e-01  -1.2421e-01  1.1780e+02  
046000   -2.7991e-01  -1.2134e-01  1.1599e+02  
047000   -2.5829e-01  -1.1118e-01  1.2519e+02  
048000   -3.1127e-01  -1.3053e-01  1.1762e+02  
049000   -2.6953e-01  -1.1793e-01  1.1570e+02  
050000   -2.9524e-01  -1.3025e-01  1.1301e+02  
