initialize g with weights in results/VAE/trainVAE-g.pt
------device=cuda:0, q=2, batch_size=64, num_steps=50000, w_disc=32, w_dec=32,------
------out_file: results/DCGAN/trainDCGAN-vaeInit------
   step      J_GAN      J_Gen    ProbDist    
001000   -1.5065e-01  -5.7034e-02  2.3224e+02  
002000   -2.4258e-01  -1.1107e-01  1.5204e+02  
003000   -2.6185e-01  -1.1970e-01  1.2679e+02  
004000   -2.5740e-01  -1.1888e-01  1.2323e+02  
005000   -2.6669e-01  -1.2124e-01  1.1961e+02  
006000   -2.3286e-01  -1.0311e-01  1.1147e+02  
007000   -2.2996e-01  -1.0447e-01  1.0950e+02  
008000   -2.1535e-01  -1.0029e-01  1.1002e+02  
009000   -2.3136e-01  -1.0422e-01  1.1030e+02  
010000   -2.1367e-01  -9.4286e-02  1.1156e+02  
011000   -2.0159e-01  -8.8985e-02  1.1032e+02  
012000   -2.1341e-01  -9.4397e-02  1.1280e+02  
013000   -2.1593e-01  -9.6983e-02  1.1122e+02  
014000   -1.8815e-01  -8.5642e-02  1.1019e+02  
015000   -2.0207e-01  -9.2386e-02  1.0957e+02  
016000   -2.0112e-01  -9.0253e-02  1.1057e+02  
017000   -2.1544e-01  -9.3563e-02  1.0798e+02  
018000   -2.1136e-01  -9.1400e-02  1.0599e+02  
019000   -2.2456e-01  -9.6762e-02  1.0651e+02  
020000   -1.8257e-01  -8.3164e-02  1.0817e+02  
021000   -2.0020e-01  -8.9516e-02  1.0715e+02  
022000   -1.9245e-01  -8.6282e-02  1.0793e+02  
023000   -1.8340e-01  -7.9962e-02  1.0357e+02  
024000   -1.6653e-01  -7.4786e-02  1.0495e+02  
025000   -1.6308e-01  -7.4571e-02  1.0434e+02  
026000   -1.5791e-01  -6.9270e-02  1.0587e+02  
027000   -1.7612e-01  -7.6740e-02  1.0506e+02  
028000   -1.8177e-01  -8.1500e-02  1.0438e+02  
029000   -1.7027e-01  -7.6036e-02  1.0431e+02  
030000   -1.5498e-01  -6.8826e-02  1.0276e+02  
031000   -1.7734e-01  -7.9945e-02  1.0110e+02  
032000   -1.5316e-01  -6.9440e-02  1.0415e+02  
033000   -1.7264e-01  -7.7597e-02  1.0333e+02  
034000   -1.6258e-01  -7.1064e-02  1.0077e+02  
035000   -1.5907e-01  -7.0660e-02  9.8916e+01  
036000   -1.5300e-01  -6.9610e-02  1.0103e+02  
037000   -1.2759e-01  -5.4200e-02  1.0244e+02  
038000   -1.3363e-01  -5.9072e-02  1.0061e+02  
039000   -1.3983e-01  -6.1393e-02  1.0243e+02  
040000   -1.2590e-01  -5.7687e-02  1.0177e+02  
041000   -1.3524e-01  -6.0630e-02  1.0402e+02  
042000   -1.3517e-01  -6.1084e-02  1.0345e+02  
043000   -1.3010e-01  -5.7706e-02  1.0231e+02  
044000   -1.3336e-01  -5.9891e-02  1.0317e+02  
045000   -1.3037e-01  -5.9534e-02  1.0790e+02  
046000   -1.3391e-01  -5.7453e-02  1.0566e+02  
047000   -1.5771e-01  -6.9367e-02  1.0580e+02  
048000   -1.3496e-01  -5.8078e-02  1.0980e+02  
049000   -1.1879e-01  -5.2954e-02  1.0454e+02  
050000   -1.3243e-01  -5.8981e-02  1.0384e+02  
