------device=cuda:0, q=2, batch_size=64, num_epochs=50, w_enc=32, w_dec=32------
------out_file: results/VAE/trainVAE------
  epoch     Jtrain    pzxtrain    ezxtrain       Jval     pzxval     ezxval    
000001   1.7771e+02  1.7577e+02  1.9351e+00  1.6330e+02  1.6098e+02  2.3209e+00  
000002   1.5944e+02  1.5729e+02  2.1508e+00  1.5661e+02  1.5412e+02  2.4921e+00  
000003   1.5594e+02  1.5366e+02  2.2728e+00  1.5409e+02  1.5157e+02  2.5213e+00  
000004   1.5415e+02  1.5182e+02  2.3312e+00  1.5290e+02  1.5019e+02  2.7143e+00  
000005   1.5297e+02  1.5059e+02  2.3822e+00  1.5206e+02  1.4936e+02  2.7023e+00  
000006   1.5203e+02  1.4962e+02  2.4179e+00  1.5153e+02  1.4874e+02  2.7933e+00  
000007   1.5135e+02  1.4891e+02  2.4409e+00  1.5074e+02  1.4801e+02  2.7246e+00  
000008   1.5071e+02  1.4825e+02  2.4669e+00  1.5018e+02  1.4744e+02  2.7378e+00  
000009   1.5024e+02  1.4776e+02  2.4783e+00  1.5039e+02  1.4754e+02  2.8493e+00  
000010   1.4981e+02  1.4731e+02  2.4965e+00  1.4941e+02  1.4657e+02  2.8432e+00  
000011   1.4940e+02  1.4690e+02  2.5029e+00  1.4950e+02  1.4683e+02  2.6757e+00  
000012   1.4911e+02  1.4658e+02  2.5252e+00  1.4935e+02  1.4650e+02  2.8510e+00  
000013   1.4881e+02  1.4628e+02  2.5295e+00  1.4872e+02  1.4596e+02  2.7607e+00  
000014   1.4846e+02  1.4592e+02  2.5445e+00  1.4897e+02  1.4617e+02  2.7960e+00  
000015   1.4821e+02  1.4566e+02  2.5490e+00  1.5004e+02  1.4718e+02  2.8554e+00  
000016   1.4801e+02  1.4544e+02  2.5663e+00  1.4870e+02  1.4595e+02  2.7539e+00  
000017   1.4781e+02  1.4524e+02  2.5726e+00  1.4874e+02  1.4584e+02  2.9001e+00  
000018   1.4756e+02  1.4498e+02  2.5795e+00  1.4822e+02  1.4548e+02  2.7444e+00  
000019   1.4738e+02  1.4480e+02  2.5752e+00  1.4822e+02  1.4539e+02  2.8321e+00  
000020   1.4718e+02  1.4459e+02  2.5877e+00  1.4834e+02  1.4547e+02  2.8747e+00  
000021   1.4702e+02  1.4443e+02  2.5927e+00  1.4831e+02  1.4548e+02  2.8288e+00  
000022   1.4686e+02  1.4426e+02  2.5941e+00  1.4804e+02  1.4520e+02  2.8367e+00  
000023   1.4672e+02  1.4412e+02  2.5977e+00  1.4806e+02  1.4512e+02  2.9358e+00  
000024   1.4656e+02  1.4396e+02  2.6019e+00  1.4791e+02  1.4513e+02  2.7793e+00  
000025   1.4642e+02  1.4381e+02  2.6084e+00  1.4795e+02  1.4518e+02  2.7680e+00  
000026   1.4627e+02  1.4366e+02  2.6123e+00  1.4769e+02  1.4493e+02  2.7604e+00  
000027   1.4618e+02  1.4356e+02  2.6213e+00  1.4777e+02  1.4488e+02  2.8827e+00  
000028   1.4603e+02  1.4341e+02  2.6209e+00  1.4794e+02  1.4521e+02  2.7254e+00  
000029   1.4599e+02  1.4336e+02  2.6311e+00  1.4751e+02  1.4472e+02  2.7926e+00  
000030   1.4581e+02  1.4317e+02  2.6360e+00  1.4796e+02  1.4527e+02  2.6887e+00  
000031   1.4575e+02  1.4312e+02  2.6355e+00  1.4765e+02  1.4489e+02  2.7599e+00  
000032   1.4565e+02  1.4302e+02  2.6385e+00  1.4778e+02  1.4483e+02  2.9423e+00  
000033   1.4554e+02  1.4290e+02  2.6463e+00  1.4728e+02  1.4438e+02  2.8942e+00  
000034   1.4546e+02  1.4282e+02  2.6412e+00  1.4735e+02  1.4453e+02  2.8193e+00  
000035   1.4537e+02  1.4271e+02  2.6566e+00  1.4747e+02  1.4465e+02  2.8138e+00  
000036   1.4531e+02  1.4265e+02  2.6536e+00  1.4742e+02  1.4460e+02  2.8190e+00  
000037   1.4525e+02  1.4260e+02  2.6542e+00  1.4755e+02  1.4467e+02  2.8760e+00  
000038   1.4516e+02  1.4251e+02  2.6503e+00  1.4730e+02  1.4440e+02  2.9045e+00  
000039   1.4506e+02  1.4240e+02  2.6628e+00  1.4730e+02  1.4440e+02  2.9018e+00  
000040   1.4497e+02  1.4231e+02  2.6587e+00  1.4748e+02  1.4469e+02  2.7950e+00  
000041   1.4493e+02  1.4226e+02  2.6631e+00  1.4783e+02  1.4494e+02  2.8864e+00  
000042   1.4486e+02  1.4218e+02  2.6778e+00  1.4716e+02  1.4433e+02  2.8293e+00  
000043   1.4477e+02  1.4211e+02  2.6594e+00  1.4718e+02  1.4440e+02  2.7866e+00  
000044   1.4470e+02  1.4204e+02  2.6662e+00  1.4723e+02  1.4444e+02  2.7945e+00  
000045   1.4463e+02  1.4195e+02  2.6749e+00  1.4786e+02  1.4504e+02  2.8218e+00  
000046   1.4459e+02  1.4192e+02  2.6716e+00  1.4733e+02  1.4446e+02  2.8692e+00  
000047   1.4450e+02  1.4182e+02  2.6802e+00  1.4754e+02  1.4470e+02  2.8353e+00  
000048   1.4446e+02  1.4179e+02  2.6775e+00  1.4713e+02  1.4431e+02  2.8164e+00  
000049   1.4440e+02  1.4172e+02  2.6808e+00  1.4727e+02  1.4449e+02  2.7826e+00  
000050   1.4438e+02  1.4169e+02  2.6882e+00  1.4746e+02  1.4459e+02  2.8640e+00  
