------device=cuda:0, q=2, batch_size=64, num_steps=50000, w_disc=32, w_dec=32------
------out_file: results/DCGAN/trainWGAN-randomInit------
   step      J_GAN      J_Gen    ProbDist    
001000   9.0434e-02  3.6219e-02  9.5863e+02  
002000   3.0011e-02  1.7892e-02  2.3149e+02  
003000   2.4966e-02  1.2125e-02  1.6959e+02  
004000   2.0141e-02  7.8579e-03  1.4928e+02  
005000   1.7243e-02  4.9258e-03  1.3729e+02  
006000   1.4991e-02  4.5250e-03  1.2822e+02  
007000   1.3449e-02  4.1725e-03  1.2226e+02  
008000   1.2059e-02  3.4655e-03  1.1704e+02  
009000   1.0941e-02  4.7856e-03  1.1407e+02  
010000   9.9864e-03  3.7305e-03  1.1019e+02  
011000   9.3497e-03  6.0258e-03  1.0907e+02  
012000   8.7816e-03  7.7004e-03  1.0663e+02  
013000   8.3173e-03  5.8963e-03  1.0627e+02  
014000   7.9613e-03  4.1980e-03  1.0445e+02  
015000   7.5758e-03  4.1143e-03  1.0471e+02  
016000   7.2847e-03  5.2026e-03  1.0285e+02  
017000   7.0688e-03  5.4935e-03  1.0152e+02  
018000   6.7694e-03  6.2888e-03  1.0057e+02  
019000   6.4661e-03  5.1770e-03  1.0075e+02  
020000   6.2607e-03  5.3424e-03  9.9820e+01  
021000   6.0518e-03  3.9571e-03  9.9159e+01  
022000   5.8393e-03  3.5221e-03  9.8704e+01  
023000   5.6738e-03  3.4962e-03  9.8189e+01  
024000   5.5298e-03  2.3215e-03  9.7550e+01  
025000   5.4000e-03  1.7744e-03  9.6966e+01  
026000   5.2774e-03  1.0285e-03  9.6718e+01  
027000   5.2354e-03  9.6602e-04  9.6132e+01  
028000   5.1198e-03  8.4378e-04  9.6180e+01  
029000   5.0476e-03  1.6136e-03  9.5849e+01  
030000   4.9132e-03  1.7841e-03  9.5108e+01  
031000   4.8423e-03  2.8072e-03  9.5625e+01  
032000   4.7830e-03  2.4392e-03  9.5571e+01  
033000   4.7676e-03  2.6003e-03  9.5113e+01  
034000   4.6369e-03  3.0293e-03  9.4740e+01  
035000   4.5631e-03  2.2041e-03  9.4086e+01  
036000   4.4883e-03  3.2473e-03  9.3532e+01  
037000   4.4246e-03  2.9545e-03  9.3902e+01  
038000   4.3665e-03  3.2789e-03  9.4058e+01  
039000   4.3227e-03  2.3956e-03  9.3894e+01  
040000   4.2762e-03  1.6265e-03  9.2691e+01  
041000   4.2137e-03  1.3642e-03  9.4176e+01  
042000   4.1963e-03  1.1782e-03  9.3716e+01  
043000   4.1571e-03  8.6539e-04  9.3948e+01  
044000   4.1267e-03  1.3113e-03  9.3176e+01  
045000   4.1107e-03  4.9682e-04  9.3393e+01  
046000   4.0724e-03  6.0957e-04  9.3622e+01  
047000   4.0431e-03  4.6356e-04  9.2811e+01  
048000   4.0419e-03  2.5190e-05  9.3241e+01  
049000   4.0043e-03  -5.5302e-06  9.3191e+01  
050000   3.9637e-03  3.9199e-04  9.2859e+01  
