initialize g with weights in results/VAE/trainVAE-g.pt
------device=cuda:0, q=2, batch_size=64, num_steps=50000, w_disc=32, w_dec=32------
------out_file: results/DCGAN/trainWGAN-vaeInit------
   step      J_GAN      J_Gen    ProbDist    
001000   9.8016e-02  3.7898e-02  2.1267e+02  
002000   4.0626e-02  2.3535e-02  1.7130e+02  
003000   2.4519e-02  5.8282e-03  1.2997e+02  
004000   1.9377e-02  3.2689e-02  1.1579e+02  
005000   1.4879e-02  3.2376e-02  1.0757e+02  
006000   1.2726e-02  3.8867e-02  1.0229e+02  
007000   1.1038e-02  3.1195e-02  1.0047e+02  
008000   1.0462e-02  3.2218e-02  9.9698e+01  
009000   9.8914e-03  3.0616e-02  9.7902e+01  
010000   9.3823e-03  2.8720e-02  9.7652e+01  
011000   9.0339e-03  2.7796e-02  9.6153e+01  
012000   8.5916e-03  2.4935e-02  9.5867e+01  
013000   8.2343e-03  2.5079e-02  9.4840e+01  
014000   7.9187e-03  2.3666e-02  9.3587e+01  
015000   7.6963e-03  1.9979e-02  9.2664e+01  
016000   7.5541e-03  1.8075e-02  9.2843e+01  
017000   7.3329e-03  1.6485e-02  9.1934e+01  
018000   7.1320e-03  1.3612e-02  9.0954e+01  
019000   6.9459e-03  1.4304e-02  9.0953e+01  
020000   6.7611e-03  1.5827e-02  9.0958e+01  
021000   6.6543e-03  1.6127e-02  9.0671e+01  
022000   6.5316e-03  1.5347e-02  9.0589e+01  
023000   6.4119e-03  1.5592e-02  9.0986e+01  
024000   6.3097e-03  1.5181e-02  9.0269e+01  
025000   6.2119e-03  1.5757e-02  8.9563e+01  
026000   6.1119e-03  1.5680e-02  8.9119e+01  
027000   6.0015e-03  1.5852e-02  8.8693e+01  
028000   5.8711e-03  1.4648e-02  8.9046e+01  
029000   5.7979e-03  1.3644e-02  8.7846e+01  
030000   5.7710e-03  1.3030e-02  8.9200e+01  
031000   5.7028e-03  1.4651e-02  8.8510e+01  
032000   5.6183e-03  1.4748e-02  8.8049e+01  
033000   5.5419e-03  1.4654e-02  8.8659e+01  
034000   5.4964e-03  1.3939e-02  8.8095e+01  
035000   5.4264e-03  1.3998e-02  8.8708e+01  
036000   5.3579e-03  1.2901e-02  8.7748e+01  
037000   5.3108e-03  1.3888e-02  8.7898e+01  
038000   5.2779e-03  1.4576e-02  8.7882e+01  
039000   5.1993e-03  1.3370e-02  8.8319e+01  
040000   5.1644e-03  1.2683e-02  8.7140e+01  
041000   5.1564e-03  1.3523e-02  8.8754e+01  
042000   5.1318e-03  1.3073e-02  8.8003e+01  
043000   5.1313e-03  1.1972e-02  8.7905e+01  
044000   5.0500e-03  1.1824e-02  8.7697e+01  
045000   5.0123e-03  1.1280e-02  8.7181e+01  
046000   4.9632e-03  1.1529e-02  8.8270e+01  
047000   4.9310e-03  1.2047e-02  8.7663e+01  
048000   4.8943e-03  1.1841e-02  8.8133e+01  
049000   4.8601e-03  1.1867e-02  8.7772e+01  
050000   4.8166e-03  1.1109e-02  8.7176e+01  
