------device=cpu, K=6, width=128, batch_size=256, num_steps=20000------
------out_file: results/realNVP/trainRealNVP------
   step       J_ML    
001000   -4.7034e+00  
002000   -5.5544e+00  
003000   -5.5929e+00  
004000   -5.6134e+00  
005000   -5.6250e+00  
006000   -5.6343e+00  
007000   -5.6390e+00  
008000   -5.6381e+00  
009000   -5.6421e+00  
010000   -5.6439e+00  
011000   -5.6426e+00  
012000   -5.6476e+00  
013000   -5.6472e+00  
014000   -5.6476e+00  
015000   -5.6507e+00  
016000   -5.6488e+00  
017000   -5.6525e+00  
018000   -5.6557e+00  
019000   -5.6495e+00  
020000   -5.6543e+00  
